190430294695


Total L1 Cache Miss: 	3242962339
Total L2 Cache Miss: 	3234342177
Total L3 Cache Miss: 	3067556184
Total FP Instructions: 	15699377719
Total Cycles: 		321972786599
Total Instructions: 	154653482662
190299276872


Total L1 Cache Miss: 	3243327666
Total L2 Cache Miss: 	3235037658
Total L3 Cache Miss: 	3072371818
Total FP Instructions: 	15687367863
Total Cycles: 		322742637039
Total Instructions: 	154653481784
192403292189


Total L1 Cache Miss: 	3241950199
Total L2 Cache Miss: 	3231555395
Total L3 Cache Miss: 	3152857906
Total FP Instructions: 	15698664249
Total Cycles: 		325600367951
Total Instructions: 	154653482672
190260748300


Total L1 Cache Miss: 	3248442740
Total L2 Cache Miss: 	3235897492
Total L3 Cache Miss: 	3045019287
Total FP Instructions: 	15676491794
Total Cycles: 		321654138543
Total Instructions: 	154653482523
190377322352


Total L1 Cache Miss: 	3242690546
Total L2 Cache Miss: 	3234309722
Total L3 Cache Miss: 	3047505321
Total FP Instructions: 	15695868360
Total Cycles: 		321640261971
Total Instructions: 	154653482490
189871526996


Total L1 Cache Miss: 	3242810277
Total L2 Cache Miss: 	3234839262
Total L3 Cache Miss: 	3063396411
Total FP Instructions: 	15673150885
Total Cycles: 		321299050217
Total Instructions: 	154653482473
190869792773


Total L1 Cache Miss: 	3242645985
Total L2 Cache Miss: 	3234597222
Total L3 Cache Miss: 	3068139939
Total FP Instructions: 	15657255598
Total Cycles: 		323527483111
Total Instructions: 	154653482012
190111231496


Total L1 Cache Miss: 	3243251067
Total L2 Cache Miss: 	3235237797
Total L3 Cache Miss: 	3044208456
Total FP Instructions: 	15676134564
Total Cycles: 		322297977165
Total Instructions: 	154653482463
190623733000


Total L1 Cache Miss: 	3243600266
Total L2 Cache Miss: 	3233440878
Total L3 Cache Miss: 	3059969946
Total FP Instructions: 	15685459969
Total Cycles: 		322512060368
Total Instructions: 	154653482502
190128966938


Total L1 Cache Miss: 	3242966839
Total L2 Cache Miss: 	3233403422
Total L3 Cache Miss: 	3063141880
Total FP Instructions: 	15678956985
Total Cycles: 		321542737917
Total Instructions: 	154653481019
