188869914636


Total L1 Cache Miss: 	6480499822
Total L2 Cache Miss: 	6463433793
Total L3 Cache Miss: 	5619395896
Total FP Instructions: 	31388748094
Total Cycles: 		635490461000
Total Instructions: 	309315332535
188428185297


Total L1 Cache Miss: 	6480697671
Total L2 Cache Miss: 	6464733890
Total L3 Cache Miss: 	5881518679
Total FP Instructions: 	31382327008
Total Cycles: 		634619019287
Total Instructions: 	309315332847
187649278926


Total L1 Cache Miss: 	6491184104
Total L2 Cache Miss: 	6464593591
Total L3 Cache Miss: 	5896187872
Total FP Instructions: 	31393126229
Total Cycles: 		636429131576
Total Instructions: 	309309031339
185556436901


Total L1 Cache Miss: 	6479554312
Total L2 Cache Miss: 	6464200747
Total L3 Cache Miss: 	5371320363
Total FP Instructions: 	31525573762
Total Cycles: 		626834637571
Total Instructions: 	309315330745
187490491679


Total L1 Cache Miss: 	6492685752
Total L2 Cache Miss: 	6463751064
Total L3 Cache Miss: 	5649106444
Total FP Instructions: 	31371682362
Total Cycles: 		634672596961
Total Instructions: 	309315331633
191445232224


Total L1 Cache Miss: 	6478165409
Total L2 Cache Miss: 	6459663012
Total L3 Cache Miss: 	5983492826
Total FP Instructions: 	31426193999
Total Cycles: 		646753706342
Total Instructions: 	309311179458
187495271892


Total L1 Cache Miss: 	6478037351
Total L2 Cache Miss: 	6465511988
Total L3 Cache Miss: 	5799409984
Total FP Instructions: 	31490545720
Total Cycles: 		632673609037
Total Instructions: 	309313281835
185706029015


Total L1 Cache Miss: 	6478098197
Total L2 Cache Miss: 	6463835945
Total L3 Cache Miss: 	5292439957
Total FP Instructions: 	31506131766
Total Cycles: 		626824436415
Total Instructions: 	309315331828
184751120306


Total L1 Cache Miss: 	6479077658
Total L2 Cache Miss: 	6463676977
Total L3 Cache Miss: 	5264942169
Total FP Instructions: 	31522268069
Total Cycles: 		625228839558
Total Instructions: 	309315330956
189802002647


Total L1 Cache Miss: 	6485527114
Total L2 Cache Miss: 	6462024500
Total L3 Cache Miss: 	5967957041
Total FP Instructions: 	31448840493
Total Cycles: 		641267260396
Total Instructions: 	309313279992
