332907225785


Total L1 Cache Miss: 	2073
Total L2 Cache Miss: 	1562
Total L3 Cache Miss: 	722
Total FP Instructions: 	98
Total Cycles: 		83043
Total Instructions: 	13917
331992986557


Total L1 Cache Miss: 	2008
Total L2 Cache Miss: 	1436
Total L3 Cache Miss: 	604
Total FP Instructions: 	95
Total Cycles: 		76563
Total Instructions: 	13920
326767753916


Total L1 Cache Miss: 	2034
Total L2 Cache Miss: 	1491
Total L3 Cache Miss: 	650
Total FP Instructions: 	109
Total Cycles: 		77052
Total Instructions: 	13920
336937728038


Total L1 Cache Miss: 	1993
Total L2 Cache Miss: 	1552
Total L3 Cache Miss: 	660
Total FP Instructions: 	101
Total Cycles: 		76875
Total Instructions: 	13906
326066390873


Total L1 Cache Miss: 	2007
Total L2 Cache Miss: 	1505
Total L3 Cache Miss: 	635
Total FP Instructions: 	90
Total Cycles: 		96036
Total Instructions: 	13892
327009854847


Total L1 Cache Miss: 	2015
Total L2 Cache Miss: 	1497
Total L3 Cache Miss: 	674
Total FP Instructions: 	93
Total Cycles: 		76090
Total Instructions: 	13892
346292471010


Total L1 Cache Miss: 	2019
Total L2 Cache Miss: 	1520
Total L3 Cache Miss: 	805
Total FP Instructions: 	89
Total Cycles: 		78056
Total Instructions: 	13848
325698813059


Total L1 Cache Miss: 	2022
Total L2 Cache Miss: 	1504
Total L3 Cache Miss: 	685
Total FP Instructions: 	90
Total Cycles: 		79829
Total Instructions: 	13895
328359808537


Total L1 Cache Miss: 	2011
Total L2 Cache Miss: 	1481
Total L3 Cache Miss: 	590
Total FP Instructions: 	101
Total Cycles: 		74915
Total Instructions: 	13906
350728267975


Total L1 Cache Miss: 	2078
Total L2 Cache Miss: 	1606
Total L3 Cache Miss: 	769
Total FP Instructions: 	92
Total Cycles: 		82932
Total Instructions: 	13917
