289661297


Total L3 Cache Miss: 	126805
Total FP Instructions: 	239458940
Total Cycles: 		1040051475
Total Instructions: 	2117676406
299112302


Total L1 Cache Miss: 	50348289
Total L2 Cache Miss: 	50116549
Total L3 Cache Miss: 	112181
Total FP Instructions: 	239404892
Total Cycles: 		1035420409
Total Instructions: 	2117676413
289179944


Total L1 Cache Miss: 	50364583
Total L2 Cache Miss: 	48378365
Total L3 Cache Miss: 	124562
Total FP Instructions: 	236776081
Total Cycles: 		1021349601
Total Instructions: 	2117676429
57975869426


Total L1 Cache Miss: 	3243522609
Total L2 Cache Miss: 	3231655339
Total L3 Cache Miss: 	2141431984
Total FP Instructions: 	17372354603
Total Cycles: 		213564253407
Total Instructions: 	135351285876
57479504943


Total L1 Cache Miss: 	3242638632
Total L2 Cache Miss: 	3231774097
Total L3 Cache Miss: 	2108435298
Total FP Instructions: 	17263454197
Total Cycles: 		211680273180
Total Instructions: 	135351285729
56717474053


Total L1 Cache Miss: 	3240851662
Total L2 Cache Miss: 	3231821359
Total L3 Cache Miss: 	2030124292
Total FP Instructions: 	17008161039
Total Cycles: 		208871476365
Total Instructions: 	135351285511
57608793247


Total L1 Cache Miss: 	3243508107
Total L2 Cache Miss: 	3231801643
Total L3 Cache Miss: 	2048727241
Total FP Instructions: 	17144218768
Total Cycles: 		212090775920
Total Instructions: 	135351285764
57440893726


Total L1 Cache Miss: 	3245445561
Total L2 Cache Miss: 	3231622504
Total L3 Cache Miss: 	2016449444
Total FP Instructions: 	17365040715
Total Cycles: 		211541404417
Total Instructions: 	135351285726
59488673409


Total L1 Cache Miss: 	3244809255
Total L2 Cache Miss: 	3228351855
Total L3 Cache Miss: 	2210633160
Total FP Instructions: 	17591833192
Total Cycles: 		219134546701
Total Instructions: 	135351286240
59000322109


Total L1 Cache Miss: 	3245310288
Total L2 Cache Miss: 	3231519608
Total L3 Cache Miss: 	2145501685
Total FP Instructions: 	17512817168
Total Cycles: 		217312330278
Total Instructions: 	135351286111
57869683327


Total L1 Cache Miss: 	3243351648
Total L2 Cache Miss: 	3231933794
Total L3 Cache Miss: 	2079559801
Total FP Instructions: 	17188705274
Total Cycles: 		213122148510
Total Instructions: 	135351285836
57450193612


Total L1 Cache Miss: 	3243380712
Total L2 Cache Miss: 	3231636607
Total L3 Cache Miss: 	2032698809
Total FP Instructions: 	17122535747
Total Cycles: 		211606417649
Total Instructions: 	135351285709
55248402089


Total L1 Cache Miss: 	3243579484
Total L2 Cache Miss: 	3231620961
Total L3 Cache Miss: 	1849075095
Total FP Instructions: 	17038865554
Total Cycles: 		203331401327
Total Instructions: 	135351285193
