330619649804


Total L1 Cache Miss: 	12940087880
Total L2 Cache Miss: 	12911910835
Total L3 Cache Miss: 	7190697981
Total FP Instructions: 	63936478966
Total Cycles: 		1184691009731
Total Instructions: 	618614292859
327723190920


Total L1 Cache Miss: 	12972940179
Total L2 Cache Miss: 	12913862251
Total L3 Cache Miss: 	7855875875
Total FP Instructions: 	64022172390
Total Cycles: 		1176060396159
Total Instructions: 	618614127926
328570042481


Total L1 Cache Miss: 	12938787239
Total L2 Cache Miss: 	12914452792
Total L3 Cache Miss: 	7157205208
Total FP Instructions: 	63884318401
Total Cycles: 		1179212025425
Total Instructions: 	618614286851
334417148885


Total L1 Cache Miss: 	12938893977
Total L2 Cache Miss: 	12904214746
Total L3 Cache Miss: 	7518064244
Total FP Instructions: 	63744932559
Total Cycles: 		1200146460149
Total Instructions: 	618613875542
338862484579


Total L1 Cache Miss: 	12937149752
Total L2 Cache Miss: 	12895389486
Total L3 Cache Miss: 	7820942955
Total FP Instructions: 	63691007826
Total Cycles: 		1216178114573
Total Instructions: 	618613882331
329769352872


Total L1 Cache Miss: 	12961669976
Total L2 Cache Miss: 	12906586566
Total L3 Cache Miss: 	9610873631
Total FP Instructions: 	64026942058
Total Cycles: 		1183488026273
Total Instructions: 	618613886075
333693542848


Total L1 Cache Miss: 	12954329411
Total L2 Cache Miss: 	12909961827
Total L3 Cache Miss: 	8568030357
Total FP Instructions: 	63769811440
Total Cycles: 		1197550492049
Total Instructions: 	618613874346
334394887940


Total L1 Cache Miss: 	12939066213
Total L2 Cache Miss: 	12909958776
Total L3 Cache Miss: 	8333523512
Total FP Instructions: 	63901027439
Total Cycles: 		1200081736188
Total Instructions: 	618613884731
336176181745


Total L1 Cache Miss: 	12938969358
Total L2 Cache Miss: 	12895948310
Total L3 Cache Miss: 	8733906041
Total FP Instructions: 	63699156254
Total Cycles: 		1206460591462
Total Instructions: 	618613884877
329796340811


Total L1 Cache Miss: 	12940264695
Total L2 Cache Miss: 	12910247183
Total L3 Cache Miss: 	8048149008
Total FP Instructions: 	64176865204
Total Cycles: 		1183634971071
Total Instructions: 	618614448935
